Time	ID	Ax_cm/s2	Ay_cm/s2	Az_cm/s2	Q0	Q1	Q2	Q3
20:29:03.472	16	307.92881	-865.927195	-299.102825	-0.17404	0.45786	-0.64697	0.58429
20:29:03.498	7	-275.566865	918.883105	193.191005	0.7341	0.65002	0.02524	-0.19449
20:29:03.588	7	-273.605535	917.90244	193.191005	0.7341	0.65002	0.02524	-0.19449
20:29:03.622	16	310.870805	-861.02387	-298.12216	-0.17404	0.45786	-0.64697	0.58429
20:29:03.679	7	-275.566865	919.86377	192.21034	0.7341	0.65002	0.02524	-0.19449
20:29:03.713	16	315.77413	-865.927195	-299.102825	-0.17404	0.45786	-0.64697	0.58429
20:29:03.798	7	-274.5862	917.90244	195.152335	0.73453	0.64972	0.02496	-0.19382
20:29:03.802	16	313.8128	-863.965865	-296.16083	-0.17773	0.45691	-0.64639	0.58456
20:29:03.889	7	-275.566865	919.86377	194.17167	0.73453	0.64972	0.02496	-0.19382
20:29:03.921	16	301.064155	-864.94653	-295.180165	-0.17773	0.45691	-0.64639	0.58456
20:29:03.980	7	-273.605535	917.90244	192.21034	0.73453	0.64972	0.02496	-0.19382
20:29:04.042	16	310.870805	-868.86919	-282.43152	-0.17773	0.45691	-0.64639	0.58456
20:29:04.099	7	-278.50886	916.921775	192.21034	0.73434	0.64981	0.0246	-0.19437
20:29:04.101	16	310.870805	-868.86919	-282.43152	-0.17484	0.44797	-0.64639	0.59232
20:29:04.190	7	-273.605535	918.883105	193.191005	0.73434	0.64981	0.0246	-0.19437
20:29:04.220	16	313.8128	-867.888525	-282.43152	-0.17484	0.44797	-0.64639	0.59232
20:29:04.280	7	-275.566865	916.921775	193.191005	0.73434	0.64981	0.0246	-0.19437
20:29:04.342	16	325.58078	-872.79185	-286.35418	-0.17484	0.44797	-0.64639	0.59232
20:29:04.399	7	-276.54753	917.90244	193.191005	0.73416	0.64999	0.02432	-0.19446
20:29:04.401	16	336.368095	-866.90786	-282.43152	-0.16232	0.44635	-0.65497	0.58765
20:29:04.489	7	-275.566865	917.90244	193.191005	0.73416	0.64999	0.02432	-0.19446
20:29:04.521	16	305.96748	-862.9852	-304.986815	-0.16232	0.44635	-0.65497	0.58765
20:29:04.609	7	-272.62487	918.883105	192.21034	0.73416	0.64999	0.02432	-0.19446
20:29:04.611	16	305.96748	-863.965865	-286.35418	-0.16232	0.44635	-0.65497	0.58765
20:29:04.699	7	-274.5862	918.883105	190.24901	0.73404	0.65021	0.02414	-0.19424
20:29:04.701	16	403.053315	-852.197885	-294.1995	-0.1586	0.46997	-0.64435	0.58197
20:29:04.788	7	-278.50886	915.94111	193.191005	0.73404	0.65021	0.02414	-0.19424
20:29:04.820	16	429.53127	-825.71993	-301.064155	-0.1586	0.46997	-0.64435	0.58197
20:29:04.879	7	-273.605535	920.844435	193.191005	0.73404	0.65021	0.02414	-0.19424
20:29:04.911	16	414.821295	-825.71993	-354.020065	-0.1586	0.46997	-0.64435	0.58197
20:29:05.000	16	360.88472	-799.241975	-364.80738	-0.13464	0.52588	-0.61548	0.57132
20:29:05.000	7	-269.682875	921.8251	188.28768	0.73303	0.65125	0.02286	-0.19467
20:29:05.119	7	-266.74088	919.86377	190.24901	0.73303	0.65125	0.02286	-0.19467
20:29:05.120	16	382.45935	-785.512665	-351.07807	-0.13464	0.52588	-0.61548	0.57132
20:29:05.179	7	-285.373515	918.883105	183.384355	0.73303	0.65125	0.02286	-0.19467
20:29:05.242	16	429.53127	-765.899365	-347.15541	-0.13464	0.52588	-0.61548	0.57132
20:29:05.298	7	-300.08349	915.94111	183.384355	0.73099	0.65216	0.02509	-0.19901
20:29:05.303	16	486.40984	-770.80269	-379.517355	-0.12863	0.55164	-0.60571	0.55872
20:29:05.389	7	-254.9729	928.689755	191.229675	0.73099	0.65216	0.02509	-0.19901
20:29:05.423	16	499.158485	-752.170055	-386.38201	-0.12863	0.55164	-0.60571	0.55872
20:29:05.508	7	-272.62487	913.97978	182.40369	0.73099	0.65216	0.02509	-0.19901
20:29:05.512	16	513.86846	-746.286065	-404.03398	-0.12863	0.55164	-0.60571	0.55872
20:29:05.602	16	539.36575	-746.286065	-396.18866	-0.12027	0.55872	-0.60477	0.55453
20:29:05.602	7	-322.638785	921.8251	182.40369	0.73016	0.65112	0.02148	-0.20566
20:29:05.689	7	-272.62487	917.90244	188.28768	0.73016	0.65112	0.02148	-0.20566
20:29:05.753	16	542.307745	-735.49875	-387.362675	-0.12027	0.55872	-0.60477	0.55453
20:29:05.778	7	-332.445435	924.767095	208.881645	0.73016	0.65112	0.02148	-0.20566
20:29:05.812	16	551.13373	-716.866115	-398.14999	-0.12027	0.55872	-0.60477	0.55453
20:29:05.898	7	-225.55295	937.51574	181.423025	0.73395	0.6499	0.01147	-0.19675
20:29:05.901	16	591.340995	-703.136805	-375.594695	-0.07654	0.60074	-0.56509	0.56018
20:29:06.018	7	-283.412185	1006.16229	54.91724	0.73395	0.6499	0.01147	-0.19675
20:29:06.021	16	602.12831	-656.064885	-405.014645	-0.07654	0.60074	-0.56509	0.56018
20:29:06.109	7	-202.997655	857.10121	23.53596	0.73395	0.6499	0.01147	-0.19675
20:29:06.173	16	662.92954	-637.43225	-394.22733	-0.07654	0.60074	-0.56509	0.56018
20:29:06.201	16	699.214145	-628.606265	-394.22733	-0.03436	0.64011	-0.51886	0.56543
20:29:06.229	7	-100.02783	924.767095	232.417605	0.71243	0.6785	0.04205	-0.17371
20:29:06.288	7	-1123.84209	907.115125	138.273765	0.71243	0.6785	0.04205	-0.17371
20:29:06.321	16	690.38816	-542.307745	-396.18866	-0.03436	0.64011	-0.51886	0.56543
20:29:06.379	7	-182.40369	915.94111	193.191005	0.71243	0.6785	0.04205	-0.17371
20:29:06.412	16	767.860695	-501.119815	-387.362675	-0.03436	0.64011	-0.51886	0.56543
20:29:06.499	7	-494.25516	1103.248125	-134.351105	0.70526	0.69266	0.06174	-0.13745
20:29:06.502	16	745.3054	-456.009225	-383.440015	-0.01196	0.69006	-0.43253	0.58008
20:29:06.589	7	-523.67511	912.999115	-260.85689	0.70526	0.69266	0.06174	-0.13745
20:29:06.621	16	776.68668	-429.53127	-368.73004	-0.01196	0.69006	-0.43253	0.58008
20:29:06.679	7	-340.290755	1066.96352	-187.307015	0.70526	0.69266	0.06174	-0.13745
20:29:06.713	16	848.275225	-449.14457	-347.15541	-0.01196	0.69006	-0.43253	0.58008
20:29:06.799	7	-125.52512	960.071035	93.163175	0.60068	0.76749	0.09686	-0.2016
20:29:06.801	16	848.275225	-397.169325	-397.169325	0.01147	0.73325	-0.37796	0.56503
20:29:06.919	7	-320.677455	892.40515	193.191005	0.60068	0.76749	0.09686	-0.2016
20:29:06.921	16	831.60392	-364.80738	-444.241245	0.01147	0.73325	-0.37796	0.56503
20:29:06.979	7	-512.887795	789.435325	34.323275	0.60068	0.76749	0.09686	-0.2016
20:29:07.011	16	733.53742	-239.28226	-475.622525	0.01147	0.73325	-0.37796	0.56503
20:29:07.102	16	784.532	-224.572285	-384.42068	0.07175	0.76569	-0.33066	0.54694
